0,1,2,3,4,5,6,7
6000,34.93809275,-9.85632177,11,5,109,1,1999
1062.351942,34.6987661,-2.14746569,20,2,280,0.999999958,2010
25,37.46066446,-3.82132853,21,4,250,1,2009
1062.351942,38.48616088,-11.15529772,90,63,58,1,1986
1062.351942,31.13084671,-1.82535885,18,1,398.9057923,1,1996.814686
20,39.1727956,-4.76558728,4,8,1,0.999999976,2009
1062.351942,33.36240982,-3.76636472,17,3,367.1471546,1.000000033,1996.814686
1062.351942,32.62061707,-4.22619802,17,3,516.7607512,0.999999972,1996.814686
1062.351942,32.71110001,-5.14671181,14,6,32.11827642,1,1996.814686
1062.351942,30.62699053,-1.25705061,18,1,464.5359443,1.000000047,1996.814686
1062.351942,39.20951812,-7.03413939,60,43,345,1,2011
200,35.77025785,-10.57417468,10,5,250,1,1987
1062.351942,33.79810612,-3.2901938,17,2,367.1820133,1,1996.814686
1062.351942,37.09257412,-3.1817833,3,7,1,0.999999964,2009
1062.351942,34.36407268,-3.62933335,17,6,355.7704976,1.000000006,1996.814686
1062.351942,31.44412134,-8.27496163,15,2,200,1,1991
500,34.64243884,-9.10618458,11,4,35,1.000000047,1978
1062.351942,34.56926611,-9.08551497,11,4,50,1,1978
1062.351942,32.92015381,-1.94786801,19,1,1000,1,1999
500,34.50896732,-9.8944125,11,5,1,1.000000023,1992
200,34.47342985,-9.59498965,11,4,4,1,2008
1062.351942,30.75435201,-2.00E-08,17,1,383.8565661,1,1996.814686
1062.351942,34.58690108,-8.98001429,11,4,350,1.000000034,1978
500,37.94002949,-4.12559468,3,3,210,0.999999976,2011
1062.351942,29.74706567,-4.49556758,16,3,156,0.999999977,2009
1062.351942,37.42275132,-3.31753648,3,4,140,1.000000029,1974
500,39.37077651,-9.94253166,80,23,260,1,2011
1062.351942,31.10425712,-1.73536124,18,1,464.4797275,1,1996.814686
1062.351942,37.61112572,-3.2635263,3,1,1,1.00000006,2000
1062.351942,37.06168837,-3.19198926,3,7,1,0.999999965,2002
1062.351942,36.1083125,-5.79099991,1,4,331.1912404,0.999999979,1996.814686
50,38.36355454,-6.63610419,6,1,150,1.000000079,2004
1062.351942,37.49233371,-3.29062725,3,4,180,1.000000047,1972
1062.351942,34.47835586,-9.71590954,11,5,70,1,1992
1062.351942,39.81291224,-7.8899863,60,63,100,1,1996.814686
1062.351942,36.61869946,-3.29300336,2,2,200,0.999999964,2000
1062.351942,33.85434473,-9.63851993,12,3,143.2351092,1,1996.814686
1062.351942,35.85837259,-4.6479063,1,1,44.88554428,1,1996.814686
4000,35.89026429,-8.22439872,11,7,100,1,2003
1062.351942,30.6133054,-3.89456056,16,1,230,1,2002
25,37.42002692,-3.47684942,3,4,50,0.999999976,2008
500,33.92790176,-9.20464923,11,3,90.33930803,1,1986
500,34.81457364,-9.03250291,11,4,250,1.000000047,2011
1062.351942,34.96778863,-4.62892053,13,2,1,1.00000002,1980
20,36.80607857,-3.47855934,2,2,100,1.000000027,2000
1062.351942,33.34526033,-3.83899753,17,3,367.1609933,1,1996.814686
20,39.08741514,-11.00060373,90,33,30,1,2004
1062.351942,33.5406067,-9.17290468,12,4,143.2819648,1.000000054,1996.814686
4000,35.87141325,-8.22756303,11,7,70,1.000000011,2003
1500,34.44128349,-9.18987766,11,4,20,0.999999961,2007
20,37.37285829,-3.34929238,3,6,10,1.000000043,2008
1062.351942,32.04683486,-8.57166114,15,2,200,0.999999949,1973
1062.351942,33.95816322,-9.44812238,12,3,143.26991,1.000000028,1996.814686
1062.351942,31.82275005,-2.00E-08,19,6,1664.00992,1.000000042,1996.814686
1062.351942,30.98302258,-1.68065404,18,1,464.5382553,0.999999967,1996.814686
20,37.34816881,-3.35653763,3,6,1,1,2008
6,37.47943592,-3.36819761,3,4,45,1.000000063,2008
1062.351942,36.72112734,-3.33981163,2,2,150,0.999999973,2009
1062.351942,35.56134607,-3.80687858,21,3,456,1.000000072,2000
1062.351942,31.45428168,-1.56388609,18,2,464.4596198,0.999999978,1996.814686
1062.351942,38.78943655,-5.11324963,4,3,200,1,1999
1062.351942,38.37667127,-4.6472895,4,1,1,0.999999959,1992
500,29.66972029,-4.77975837,16,3,567,0.999999947,1985
1062.351942,36.94745079,-3.35002587,2,7,130,0.999999955,2002
1062.351942,34.76272634,-4.30776106,13,1,225,1,2004
1062.351942,34.62159801,-5.17313618,13,2,1,1,1970
1062.351942,34.89725735,-9.2035221,11,4,50,1.000000053,2010
1062.351942,30.71609028,-1.2857798,18,1,464.4633945,0.999999978,1996.814686
1062.351942,34.55789311,-8.88959406,11,4,54,1.000000035,1978
1062.351942,29.76800862,-4.47180947,16,2,1,1,2004
200,35.81898147,-8.93495018,5,3,280,0.999999973,1995
1062.351942,34.46222769,-8.57578037,12,7,88.3340772,1,1996.814686
1062.351942,34.24718,-8.60751263,12,7,88.33380139,1.000000024,1996.814686
1062.351942,34.6570345,-1.88801974,20,2,200,1,1991
500,30.41995839,-4.27996794,16,2,1,1,2009
1062.351942,31.79687285,-1.35148627,18,6,1589.646359,1,1996.814686
500,34.68047144,-9.3264772,11,4,75,1,2008
1062.351942,36.93165941,-3.55703413,2,7,140,0.999999985,1974
1062.351942,38.58082367,-4.8348356,4,2,900,1,1992
1062.351942,32.25500494,-3.36190077,17,5,450.104537,0.999999979,1996.814686
1062.351942,34.28447604,-9.27156548,11,3,20.77700912,1,2002
1062.351942,37.7229531,-7.02426273,5,2,100,1.000000038,2004
1062.351942,36.75793224,-3.3747906,2,7,360,0.999999983,2011
1062.351942,33.53890869,-3.36161167,17,8,3415.009839,1,1996.814686
1062.351942,34.19057512,-1.60969058,20,3,544,1,2002
1062.351942,32.18551701,-2.37877187,19,5,499.9984374,0.999999954,1996.814686
500,35.73447433,-7.91231657,11,1,441,1,2000
1062.351942,31.55890304,-2.02646851,18,3,399.5457305,1,1996.814686
